CSV generated online at simspecs.com
ID,Name,Max or Junction Temp(C)
103,DDR3_SODIMM-3/DDR3_SDRAM-41,80.58
104,DDR3_SODIMM-3/DDR3_SDRAM-34,79.61
105,DDR3_SODIMM-3/DDR3_SDRAM-33,79.77
106,DDR3_SODIMM-3/DDR3_SDRAM-17,80.30
107,DDR3_SODIMM-3/DDR3_SDRAM-18,79.98
108,DDR3_SODIMM-3/DDR3_SDRAM-46,81.26
109,DDR3_SODIMM-3/DDR3_SDRAM-44,80.77
110,DDR3_SODIMM-3/DDR3_SDRAM-30,80.64
111,DDR3_SODIMM-3/DDR3_SDRAM-28,81.11
112,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-24,69.22
113,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-13,68.92
114,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-16,68.75
115,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-12,66.70
116,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-20,65.52
117,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-23,65.01
118,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-15,66.39
119,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-21,69.39
120,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-18,68.21
121,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-17,67.84
122,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-1,67.26
123,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-3,67.55
124,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-22,63.09
125,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-19,63.52
126,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-7,64.88
127,DDR3_SODIMM_FPGA-1/DDR3_SDRAM_FPGA-14,64.52
128,470uF-2,91.29
129,470uF-1,97.12
130,470uF-3,87.76
131,470uF-4,85.18
132,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SODIMM_Board-2,92.16
133,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SODIMM_SOCKET-1,98.57
134,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SODIMM_Board-2,112.17
135,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SODIMM_SOCKET-1,111.87
136,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SODIMM_Board-2,113.42
137,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SODIMM_SOCKET-1,115.71
138,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SODIMM_Board-2,56.13
139,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SODIMM_SOCKET-1,63.41
140,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-36,92.00
141,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-22,91.30
142,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-23,91.80
143,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-19,91.22
144,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-39,91.27
145,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-35,92.17
146,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-21,91.94
147,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-32,91.53
148,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-25,89.28
149,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-24,89.67
150,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-1,89.49
151,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-3,88.99
152,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-34,90.56
153,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-38,89.19
154,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-17,89.12
155,daughter board-1/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-20,90.06
156,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-36,111.67
157,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-22,111.09
158,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-23,111.43
159,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-19,109.17
160,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-39,108.24
161,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-35,109.06
162,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-21,109.81
163,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-32,111.48
